candidate,office,election_period,n_contributions,total_raised,amt_hei_utility,amt_hei_person,amt_hei_asb,amt_utility_other,amt_landholder_dev,amt_ag_seed,amt_solar_wind,amt_union_construction
"Chang, Jerry",House,2006-2008,92,27025.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,2100.00
"Chang, Jerry",House,2008-2010,107,27875.00,0.00,0.00,0.00,0.00,1850.00,1000.00,0.00,850.00
"Chang, Jerry",House,2010-2012,51,19650.00,0.00,0.00,0.00,0.00,300.00,500.00,0.00,650.00
"Chang, Jerry",House,2012-2014,2,256.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Coffman, George",House,2006-2008,19,13762.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2750.00
"Coffman, George",House,2008-2010,84,28500.00,0.00,0.00,0.00,0.00,500.00,0.00,250.00,1600.00
"Coffman, George",House,2010-2012,63,22000.00,0.00,50.00,0.00,500.00,300.00,150.00,0.00,4600.00
"Coffman, George",House,2012-2014,11,3450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,450.00
"Dela Cruz, Donovan",Senate,2006-2010,271,161210.00,0.00,0.00,0.00,0.00,5550.00,0.00,0.00,20500.00
"Dela Cruz, Donovan",Senate,2010-2012,260,125346.50,100.00,0.00,0.00,0.00,10200.00,4300.00,600.00,15500.00
"Dela Cruz, Donovan",Senate,2012-2016,204,99494.17,125.00,0.00,0.00,0.00,6550.00,3775.00,150.00,4950.00
"Gabbard, Mike",Senate,2006-2010,138,67776.63,0.00,0.00,0.00,0.00,2450.00,0.00,250.00,16671.73
"Gabbard, Mike",Senate,2010-2012,74,44876.00,125.00,200.00,0.00,0.00,550.00,0.00,2000.00,11750.00
"Gabbard, Mike",Senate,2012-2016,20,6350.00,0.00,0.00,0.00,0.00,0.00,0.00,750.00,0.00
"Ige, David",Governor,2012-2014,2644,2009893.97,3500.00,4500.00,0.00,1000.00,29750.00,2500.00,10100.00,61500.00
"Ige, David",Governor,2014-2018,46,39198.28,1000.00,0.00,0.00,0.00,0.00,1000.00,2000.00,6000.00
"Ige, David",Senate,2004-2008,20,12775.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Ige, David",Senate,2008-2012,224,80729.74,150.00,200.00,0.00,0.00,1150.00,0.00,1000.00,2900.00
"Kahele, Gilbert",Senate,2010-2012,268,109962.90,0.00,0.00,0.00,0.00,0.00,1200.00,0.00,14200.00
"Kahele, Gilbert",Senate,2012-2014,228,90943.00,0.00,300.00,0.00,0.00,600.00,1700.00,0.00,13450.00
"Kahele, Gilbert",Senate,2014-2018,1,250.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00
"Kiaaina, Esther",Honolulu Council,2018-2020,156,127631.78,500.00,0.00,0.00,0.00,5050.00,0.00,250.00,27500.00
