step,seg_km,cum_km,cum_acres_le30,cum_acres_le15,marginal_ac_per_km,segment_wkt,smoothed_ac_per_km
0,0.0,0.0,16327.75989636256,14171.41949552749,,,
1,1.131,1.131,16794.7,14636.8,412.7,"LINESTRING (598128.8109639742 2383583.0420877915, 597328.8109639742 2382783.0420877915)",410.7
2,0.541,1.673,17016.8,14856.6,410.3,"LINESTRING (597328.8109639742 2382783.0420877915, 597328.8109639742 2382383.0420877915, 597228.8109639742 2382283.0420877915)",397.3
3,0.6,2.273,17262.3,15081.3,409.1,"LINESTRING (608828.8109639742 2397383.0420877915, 608828.8109639742 2396783.0420877915)",366.2
4,0.5,2.773,17440.8,15257.0,357.0,"LINESTRING (597228.8109639742 2382283.0420877915, 597228.8109639742 2381783.0420877915)",379.0
5,1.1,3.873,17706.9,15490.2,241.9,"LINESTRING (597028.8109639742 2377283.0420877915, 597028.8109639742 2376183.0420877915)",393.6
6,0.8,4.673,18088.1,15861.1,476.5,"LINESTRING (597028.8109639742 2376183.0420877915, 597028.8109639742 2375383.0420877915)",400.2
7,0.5,5.173,18329.8,16090.4,483.4,"LINESTRING (597028.8109639742 2375383.0420877915, 597028.8109639742 2374883.0420877915)",414.9
8,0.566,5.738,18579.9,16335.5,442.2,"LINESTRING (597028.8109639742 2374883.0420877915, 597428.8109639742 2374483.0420877915)",434.2
9,0.524,6.263,18805.7,16558.8,430.7,"LINESTRING (597428.8109639742 2374483.0420877915, 597528.8109639742 2374483.0420877915, 597828.8109639742 2374183.0420877915)",428.4
10,1.141,7.404,19191.8,16917.8,338.3,"LINESTRING (597828.8109639742 2374183.0420877915, 597828.8109639742 2373183.0420877915, 597728.8109639742 2373083.0420877915)",412.0
11,0.566,7.97,19444.8,17160.1,447.3,"LINESTRING (597728.8109639742 2373083.0420877915, 597328.8109639742 2372683.0420877915)",395.5
12,0.5,8.47,19645.4,17348.0,401.3,"LINESTRING (597328.8109639742 2372683.0420877915, 597328.8109639742 2372183.0420877915)",379.0
13,0.566,9.036,19849.1,17520.7,360.0,"LINESTRING (597328.8109639742 2372183.0420877915, 596928.8109639742 2371783.0420877915)",393.3
14,1.1,10.136,20232.2,17877.4,348.3,"LINESTRING (596928.8109639742 2371783.0420877915, 596928.8109639742 2370683.0420877915)",372.0
15,0.7,10.836,20518.9,18154.4,409.6,"LINESTRING (596928.8109639742 2370683.0420877915, 596928.8109639742 2369983.0420877915)",347.9
16,0.5,11.336,20689.4,18300.5,341.0,"LINESTRING (608828.8109639742 2396783.0420877915, 608828.8109639742 2396283.0420877915)",341.9
17,1.107,12.443,21000.3,18539.4,280.8,"LINESTRING (608828.8109639742 2396283.0420877915, 608828.8109639742 2395883.0420877915, 609328.8109639742 2395383.0420877915)",328.7
18,0.566,13.008,21186.8,18707.5,329.8,"LINESTRING (609328.8109639742 2395383.0420877915, 609728.8109639742 2394983.0420877915)",299.0
19,0.6,13.608,21356.2,18876.5,282.3,"LINESTRING (599328.8109639742 2381483.0420877915, 599928.8109639742 2381483.0420877915)",280.2
20,0.8,14.408,21565.1,19078.2,261.1,"LINESTRING (597328.8109639742 2382683.0420877915, 596528.8109639742 2382683.0420877915)",272.8
21,0.5,14.908,21688.6,19200.3,247.0,"LINESTRING (599128.8109639742 2380683.0420877915, 598628.8109639742 2380683.0420877915)",255.3
22,0.524,15.433,21816.3,19325.6,243.6,"LINESTRING (598028.8109639742 2383483.0420877915, 598028.8109639742 2383583.0420877915, 597728.8109639742 2383883.0420877915)",230.3
23,0.524,15.957,21943.4,19436.3,242.4,"LINESTRING (596928.8109639742 2369983.0420877915, 596928.8109639742 2369883.0420877915, 597228.8109639742 2369583.0420877915)",253.9
24,1.1,17.057,22116.4,19598.7,157.3,"LINESTRING (596328.8109639742 2378083.0420877915, 595228.8109639742 2378083.0420877915)",263.1
25,0.541,17.598,22321.7,19795.8,379.2,"LINESTRING (595228.8109639742 2378083.0420877915, 594728.8109639742 2378183.0420877915)",276.1
26,0.641,18.24,22509.5,19957.2,292.9,"LINESTRING (594728.8109639742 2378183.0420877915, 594628.8109639742 2378283.0420877915, 594128.8109639742 2378283.0420877915)",276.0
27,0.524,18.764,22671.3,20071.7,308.5,"LINESTRING (594128.8109639742 2378283.0420877915, 594028.8109639742 2378283.0420877915, 593728.8109639742 2378583.0420877915)",308.1
28,1.09,19.854,22934.9,20294.9,241.9,"LINESTRING (594028.8109639742 2378283.0420877915, 593428.8109639742 2377683.0420877915, 593328.8109639742 2377483.0420877915)",278.9
29,0.566,20.42,23114.9,20440.8,318.1,"LINESTRING (593328.8109639742 2377483.0420877915, 592928.8109639742 2377083.0420877915)",270.1
30,1.131,21.551,23378.9,20678.7,233.3,"LINESTRING (593128.8109639742 2377283.0420877915, 593928.8109639742 2376483.0420877915)",258.7
31,0.524,22.075,23509.2,20782.3,248.6,"LINESTRING (593928.8109639742 2376483.0420877915, 593928.8109639742 2376383.0420877915, 594228.8109639742 2376083.0420877915)",257.4
32,0.866,22.941,23727.0,20968.9,251.6,"LINESTRING (594228.8109639742 2376083.0420877915, 594528.8109639742 2376083.0420877915, 594928.8109639742 2375683.0420877915)",240.4
33,0.5,23.441,23844.6,21063.4,235.2,"LINESTRING (609728.8109639742 2394983.0420877915, 609728.8109639742 2394483.0420877915)",238.2
34,0.483,23.924,23957.2,21171.9,233.1,"LINESTRING (602428.8109639742 2374283.0420877915, 602228.8109639742 2374283.0420877915, 602028.8109639742 2374483.0420877915)",232.1
35,0.766,24.689,24127.7,21336.1,222.7,"LINESTRING (597128.8109639742 2389083.0420877915, 597728.8109639742 2388683.0420877915)",224.8
36,0.5,25.189,24236.5,21396.4,217.7,"LINESTRING (592928.8109639742 2377083.0420877915, 592428.8109639742 2377083.0420877915)",220.9
37,0.707,25.897,24388.9,21494.3,215.5,"LINESTRING (597028.8109639742 2369783.0420877915, 596528.8109639742 2369283.0420877915)",216.9
38,0.7,26.597,24539.7,21644.9,215.5,"LINESTRING (587628.8109639742 2369083.0420877915, 587628.8109639742 2369783.0420877915)",216.3
39,1.1,27.697,24773.9,21876.7,212.9,"LINESTRING (587628.8109639742 2369783.0420877915, 587628.8109639742 2370883.0420877915)",214.7
40,0.6,28.297,24905.9,22008.6,220.0,"LINESTRING (587628.8109639742 2370883.0420877915, 587628.8109639742 2371483.0420877915)",211.1
41,1.041,29.338,25124.2,22153.3,209.6,"LINESTRING (608828.8109639742 2395983.0420877915, 607928.8109639742 2395983.0420877915, 607828.8109639742 2395883.0420877915)",207.9
42,1.1,30.438,25341.2,22365.1,197.3,"LINESTRING (597828.8109639742 2373483.0420877915, 598928.8109639742 2373483.0420877915)",207.7
43,0.849,31.287,25510.5,22485.8,199.5,"LINESTRING (606328.8109639742 2398583.0420877915, 605728.8109639742 2397983.0420877915)",204.7
44,1.049,32.335,25733.1,22697.5,212.3,"LINESTRING (602028.8109639742 2380483.0420877915, 602228.8109639742 2380383.0420877915, 602728.8109639742 2380983.0420877915)",203.0
