cluster_id,buildable_ac_le15,buildable_ac_le30,mw_5ac,mw_7ac,pct_de,pct_bc_s3,km_new_row_46kv,km_new_row_46kv_edge,km_new_row_138kv,km_new_row_138kv_edge,dir_to_46kv,acres_per_km,n_owners_100ac,owners_per_km,top_owners,majority_federal_flag,centroid_lon,centroid_lat,notes
C01,9742,14210,2842,2030,55,45,3.9,1.0,8.8,1.0,NE,3644,18,4.6,United States of America (33%); Island Palm Communities LLC (Army housing PPP / Lendlease) (15%); Dillingham Ranch Holdings LLC (6%),False,-158.1168,21.5113,Waianae Range mauka (approx)
C02,6479,8749,1750,1250,94,6,3.6,1.0,8.9,4.0,SW,2423,5,1.4,United States of America (57%); State of Hawaii (agency unspecified) (11%); DHHL (5%),True,-158.1447,21.4462,Lualualei (approx)
C03,4835,5697,1139,814,26,74,2.0,1.0,7.0,3.3,SE,2781,5,2.4,Laukiha'a ag CPR (multiple unit owners; developed by Pomaika'i Partners LLC) (39%); Dole Food Co Inc (27%); Kamehameha Schools (B.P. Bishop Estate) (14%),False,-158.0412,21.555,Waialua (approx)
C04,3132,5618,1124,803,48,52,2.5,1.0,18.9,15.3,NW,2237,4,1.6,United States of America (36%); Property Reserve Inc (LDS Church real-estate arm) (32%); State of Hawaii (agency unspecified) (15%),False,-157.9782,21.6567,Kahuku (approx)
C05,1446,2223,445,318,58,42,9.4,5.6,9.4,5.6,S,237,3,0.3,Kualoa Ranch (Morgan family) (50%); City & County of Honolulu (23%); State of Hawaii - HHFDC (20%),False,-157.8529,21.5082,Waiahole/Waikane (approx)
C06,1318,1700,340,243,45,55,2.1,1.0,12.5,10.6,NW,797,1,0.5,Kamehameha Schools (B.P. Bishop Estate) (99%); Dole Food Co Inc (1%); Hi'ipaka LLC (OHA subsidiary - Waimea Valley) (0%),False,-158.038,21.6046,Pupukea/Waimea (approx)
C07,1622,1651,330,236,14,86,3.7,1.0,3.7,1.0,NW,446,3,0.8,United States - Navy (64%); Hawaii Prince Hotel Waikiki LLC (golf course) (16%); City & County of Honolulu (11%),True,-158.0131,21.3449,Ewa/Kalaeloa (approx)
C08,1363,1407,281,201,19,81,3.4,1.7,3.4,1.7,NW,413,1,0.3,United States of America (93%); City & County of Honolulu (4%); Sokugawa Venture Llc (0%),True,-157.9888,21.3632,Pearl City/Waiau (approx)
C09,898,1157,231,165,27,73,11.6,9.2,13.7,11.8,NW,100,4,0.3,Kamehameha Schools (B.P. Bishop Estate) (28%); Kaluanui Acres (subdivision aggregate) (16%); State of Hawaii (agency unspecified) (14%),False,-157.897,21.5831,Hauula/Punaluu (approx)
C10,684,686,137,98,85,15,1.4,1.0,23.2,22.2,SW,479,2,1.4,United States - FWS (61%); NSR Farms LLC (21%); Marconi Point CPR (multiple unit owners) (9%),True,-157.9623,21.6977,Kahuku (approx)
C11,375,657,131,94,100,0,11.4,9.9,18.9,17.4,SE,58,1,0.1,"PP McCandless Ranch LLC (39%); State of Hawaii - DLNR (11%); Santimer,Nohea M (11%)",False,-158.2175,21.5049,Waianae Range mauka (approx)
C12,168,653,131,93,100,0,2.0,1.0,3.7,2.2,SW,319,1,0.5,DHHL (98%); State of Hawaii (agency unspecified) (2%),False,-158.1193,21.3984,Nanakuli (approx)
C13,375,451,90,64,95,5,1.3,1.0,1.3,1.0,SE,342,2,1.5,City & County of Honolulu (43%); Waikele Storage Park CPR (multiple unit owners) (33%); Oahu Land Holdings Llc (11%),False,-158.0138,21.4119,Waipio/Waiawa (approx)
C14,179,375,75,54,96,4,1.6,1.0,1.8,1.0,NE,241,1,0.6,"Grace Pacific LLC (construction materials/quarry) (74%); Mb Group Llc (17%); Kalaeloa Water Company, Llc (2%)",False,-158.071,21.3556,Ewa/Kalaeloa (approx)
C15,260,307,61,44,17,83,1.7,1.0,1.7,1.0,SW,176,1,0.6,United States of America (99%); State of Hawaii (agency unspecified) (1%),True,-157.9882,21.5033,Helemano/Poamoho (approx)
C16,196,303,61,43,41,59,1.3,1.0,1.3,1.0,SE,240,1,0.8,Bayer (ex-Monsanto) (57%); United States of America (19%); University of Hawaii (16%),False,-158.0514,21.3922,Kunia (approx)
