size_decile,n,min_ac,max_ac,bc_acres,S0_current_10pct_20ac,S1_10pct_nocap,S2_20pct_20ac,S3_20pct_nocap,S4_all_BC
1,11586,0.0,0.2,338.9,37.7,37.7,74.1,74.1,338.9
2,11586,0.2,0.3,678.8,76.1,76.1,148.3,148.3,678.8
3,11585,0.3,0.7,945.4,130.4,130.4,243.2,243.2,945.4
4,11586,0.7,1.0,973.4,122.1,122.1,234.9,234.9,973.4
5,11585,1.0,1.0,432.3,52.2,52.2,101.9,101.9,432.3
6,11586,1.0,1.7,2453.5,307.0,307.0,592.6,592.6,2453.5
7,11585,1.7,2.9,7509.4,915.6,915.6,1784.1,1784.1,7509.4
8,11586,2.9,3.7,3387.4,442.8,442.8,851.9,851.9,3387.4
9,11585,3.7,10.1,24480.2,3208.4,3208.4,6212.2,6212.2,24480.2
10,11586,10.1,150195.6,342225.0,28685.7,84999.4,41006.8,146970.2,342225.0
