screenline,f_share,solar_gw_total,storage_ratio,peak_load_gw,south_share,south_firm_mw,t_evening_mw,t_midday_mw,required_mw,required_n1_mw,cap_low_mva,cap_central_mva,cap_high_mva,gap_n0_vs_central_mw,gap_n1_vs_central_mw,gap_n0_vs_low_mw,gap_n1_vs_low_mw
SL-A,1.0,1.0,0.5,1.2,0.7,0.0,500,194,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.2,0.7,400.0,440,194,440,690,300.0,1600.0,2000.0,-1160,-910,140,390
SL-A,1.0,1.0,0.5,1.2,0.775,0.0,500,270,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.2,0.775,400.0,500,270,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.2,0.85,0.0,500,347,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.2,0.85,400.0,500,347,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.7,0.0,500,54,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.7,400.0,500,54,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.775,0.0,500,165,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.775,400.0,500,165,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.85,0.0,500,277,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,1.75,0.85,400.0,500,277,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.7,0.0,500,0,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.7,400.0,500,0,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.775,0.0,500,118,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.775,400.0,500,118,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.85,0.0,500,245,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.5,2.0,0.85,400.0,500,245,500,750,300.0,1600.0,2000.0,-1100,-850,200,450
SL-A,1.0,1.0,0.75,1.2,0.7,0.0,750,0,750,1000,300.0,1600.0,2000.0,-850,-600,450,700
SL-A,1.0,1.0,0.75,1.2,0.7,400.0,440,0,440,690,300.0,1600.0,2000.0,-1160,-910,140,390
