tmk,parcel_acres,a_acres,b_acres,c_acres,d_acres,e_acres,s0_eligible_acres,s3_eligible_acres,dist_46kv_km,dist_138kv_km
194127015,15.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.373,0.634
194127025,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.625
194127027,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,0.638
194127028,1.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627,0.627
194127029,0.837,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.625,0.625
194130027,0.156,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.51,0.51
194130028,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.509
194115009,1.107,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.219,1.219
194115016,3.337,0.0,0.0,0.0,0.0,0.417,0.0,0.0,0.793,0.94
194115032,18.625,0.15,0.0,0.0,0.0,3.702,0.0,0.0,0.804,0.948
194115033,2.333,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.939,0.939
194139001,0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.47
194140015,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.328
194140016,0.211,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.316,0.316
194140017,0.262,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.301,0.301
194140018,0.305,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.294,0.294
194141001,0.266,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.294,0.294
194141002,0.215,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.295,0.295
194141009,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.238
194141010,0.222,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.226,0.226
194141011,0.223,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.215,0.215
194141012,0.209,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.204,0.204
194141013,0.236,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.192,0.192
194141014,0.236,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.181,0.181
194141015,0.225,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.171,0.171
194141016,0.229,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.16,0.16
194141017,0.241,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.148,0.148
194141018,0.236,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.137,0.137
194141019,0.234,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.126,0.126
194141020,0.206,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.116,0.116
194141021,0.233,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.105,0.105
194141022,0.227,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.094,0.094
194141023,0.203,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.084,0.084
194141024,0.205,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.074,0.074
194141025,0.356,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.052,0.052
194141086,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03
194133133,0.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001
194133134,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.058
194133138,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.091
194133142,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.151
194133143,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,0.168
194133144,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.182
194133145,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.194
194133146,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.207
