name,tenure,branch,owner,tmk,acres,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,slud,lease_state_owned,source
Kaena Point Satellite Tracking Station,state_lease_2029,Air Force,STATE OF HAWAII,169003005,76.5,13.8,33.3,13.0,23.15,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Kaala Air Station,state_lease_2029,Air Force,STATE OF HAWAII,167003023,1.9,0.7,1.3,6.42,12.34,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Poamoho Training Area,state_lease_2029,Army,STATE OF HAWAII,172001006,4368.4,196.8,665.0,2.32,2.32,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Kahuku Training Area,state_lease_2029,Army,STATE OF HAWAII,158002002,451.3,230.2,391.1,0.07,19.53,Ag,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Kahuku Training Area,state_lease_2029,Army,STATE OF HAWAII,159006026,720.1,34.0,126.3,2.65,16.06,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Makua Military Reserve,state_lease_2029,Army,STATE OF HAWAII,182001024,231.7,72.4,127.4,12.0,20.07,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Makua Military Reserve,state_lease_2029,Army,STATE OF HAWAII,181001007,438.4,37.8,93.5,11.45,20.75,Conservation,Lease,ParcelsZoning MapServer layer 35 (DoD leases expiring 2029)
Acacia Road,fee_or_other,Army,United States (DoD),,1.8,1.3,1.9,0.04,0.04,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Aiea laundry,fee_or_other,Army,United States (DoD),,3.1,3.1,3.1,0.1,0.1,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Aliamanu Military Reservation,fee_or_other,Army,United States (DoD),,545.6,325.3,448.9,0.0,0.0,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Bellow,fee_or_other,Air Force,United States (DoD),,1478.3,1178.1,1292.0,0.4,3.07,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Bougainville Road,fee_or_other,Army,United States (DoD),,9.2,7.8,9.3,0.0,0.0,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Camp Smith,fee_or_other,Army,United States (DoD),,221.8,94.4,173.4,0.0,0.01,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Coast Guard Base,fee_or_other,Coast Guard,United States (DoD),,40.9,41.0,41.0,1.18,1.18,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Coast Guard Center,fee_or_other,Coast Guard,United States (DoD),,0.3,0.3,0.3,1.63,1.63,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Coast Guard Kalaeloa,fee_or_other,Coast Guard,United States (DoD),,47.7,47.6,47.6,2.01,2.01,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Coast Guard Lighthouse,fee_or_other,Coast Guard,United States (DoD),,2.7,0.2,0.8,4.58,6.69,Conservation,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Coast Guard Recreation Center,fee_or_other,Coast Guard,United States (DoD),,3.2,3.2,3.2,1.98,4.41,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Dillingham Military Reservation,fee_or_other,Army,United States (DoD),,622.4,537.9,575.2,7.35,18.74,Ag,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Field Station Kunia,fee_or_other,Army,United States (DoD),,31.5,18.4,25.3,1.45,3.05,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Ford Island,fee_or_other,Navy,United States (DoD),,451.5,448.2,450.9,1.34,1.34,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Fort DeRussy,fee_or_other,Army,United States (DoD),,70.7,70.0,70.8,2.36,4.77,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Fort Shafter,fee_or_other,Army,United States (DoD),,586.7,424.0,517.1,0.0,0.0,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Halawa Housing,fee_or_other,Army,United States (DoD),,21.1,18.5,21.1,0.42,0.42,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Halawa Water Storage Tanks,fee_or_other,Army,United States (DoD),,8.3,7.4,8.2,0.02,0.02,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Helemano,fee_or_other,Army,United States (DoD),,282.1,280.4,281.6,0.79,4.25,Ag,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
Honolulu,fee_or_other,Army,United States (DoD),,984.0,921.1,967.6,0.0,0.0,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
JBPHH,fee_or_other,Navy,United States (DoD),,3582.7,3530.3,3572.0,0.0,0.0,Urban,,"ParcelsZoning MapServer layer 34 (DoD Lands), minus layer-35 lease"
