tmk_or_site,type,acres_total,acres_le15,acres_le30,dist_46kv_km,dist_138kv_km,owner,land_value_per_ac,viability_class,low_improvement_flag,notes,source
111001001,military_note,295.1,290.0,294.4,2.18,2.18,UNITED STATES OF AMERICA,163532.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002001,military_note,26.8,26.9,26.9,0.09,0.09,U S POSTAL SERVICE,1089163.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002002,military_note,602.1,597.6,602.1,0.55,0.55,UNITED STATES OF AMERICA,143575.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002004,military_note,39.4,38.8,39.3,0.09,0.09,UNITED STATES OF AMERICA,187853.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002014,urban_parcel,22.9,22.6,23.5,1.11,1.11,STATE OF HAWAII,241895.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002015,urban_parcel,319.8,319.2,319.3,1.37,1.37,S OF H DOT AIRPORTS DIV,377563.0,,True,owner suggests airport; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002016,urban_parcel,12.0,12.0,12.0,2.24,2.24,S OF H DOT AIRPORTS DIV,388597.0,,True,owner suggests airport; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002020,military_note,10.7,10.7,10.7,1.15,1.15,UNITED STATES OF AMERICA,372514.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002022,military_note,135.2,134.0,135.0,0.08,0.08,UNITED STATES OF AMERICA,390205.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111002025,military_note,11.7,11.8,11.8,0.94,0.94,UNITED STATES OF AMERICA,390446.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111003001,urban_parcel,1947.7,1942.8,1945.6,0.08,0.08,S OF H DOT AIRPORTS DIV,109254.0,,True,owner suggests airport; Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111003004,urban_parcel,10.9,10.9,10.9,0.47,0.47,S OF H DLNR,1564028.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111003239,urban_parcel,58.4,58.3,58.3,0.46,0.46,S OF H DLNR STATE PARKS DIV,2578547.0,uncertain,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111003252,urban_parcel,11.3,11.3,11.3,0.15,0.15,S OF H DLNR,1314672.0,,False,Public-County; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111006004,military_note,17.5,17.5,17.5,0.0,0.0,UNITED STATES OF AMERICA,659226.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111008001,military_note,80.1,78.0,80.0,0.0,0.0,UNITED STATES OF AMERICA,163340.0,,False,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111008005,military_note,440.7,296.5,381.8,0.18,0.18,UNITED STATES OF AMERICA,167800.0,,True,Public-Federal; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
111008013,urban_parcel,86.1,12.4,55.7,0.1,0.1,STATE OF HAWAII,1257230.0,durable,True,Public-State; urban-district portion of parcel screened; single-parcel basis,SLUD+parcels+RPAD ASMTGIS/OWNALL taxyr 2026/27
