tmk,parcel_acres,slope_0_5,slope_5_10,slope_10_15,slope_15_20,slope_20_25,slope_25_30,slope_gt30
134019057,14.124,0.025,0.0,0.025,0.025,0.0,0.049,14.06
134021001,9.209,0.0,0.741,1.013,1.137,1.285,1.161,3.855
134021002,3.998,0.025,0.0,0.0,0.074,0.074,0.173,3.632
134021005,4.362,0.148,0.939,1.038,0.371,0.568,0.297,1.013
134021006,6.589,0.025,0.815,1.507,0.667,0.494,0.494,2.718
134021008,7.611,0.049,0.84,0.84,0.717,0.47,0.395,4.3
134021010,4.672,0.0,0.124,0.025,0.198,0.494,0.642,3.138
134021011,1.976,0.099,0.47,0.642,0.395,0.148,0.099,0.099
134021012,4.064,0.025,0.173,0.371,0.395,0.47,0.568,2.1
134021013,4.174,0.049,0.395,0.865,0.42,0.321,0.42,1.705
134021014,3.27,0.049,1.532,0.272,0.272,0.198,0.124,0.865
134021015,0.856,0.049,0.148,0.074,0.074,0.099,0.049,0.371
134021016,0.778,0.099,0.148,0.198,0.173,0.049,0.099,0.074
134021017,1.984,0.0,0.074,0.198,0.494,0.371,0.247,0.618
134021018,3.004,0.074,0.618,0.642,0.272,0.222,0.371,0.815
134021019,2.952,0.0,0.0,0.47,0.692,0.148,0.099,1.581
134021020,1.818,0.0,0.0,0.049,0.47,0.148,0.148,1.013
134021021,14.112,0.025,0.297,1.137,1.878,1.878,1.507,7.388
134021022,0.418,0.0,0.049,0.025,0.148,0.074,0.049,0.049
134021023,2.228,0.0,0.791,0.939,0.148,0.074,0.025,0.272
134021024,6.701,0.0,0.099,0.321,0.494,0.618,1.112,3.978
134021025,6.514,0.0,0.074,0.173,0.148,0.47,0.642,5.165
134021026,8.63,0.025,0.148,0.272,0.395,0.494,0.395,6.919
134021027,1.233,0.0,0.0,0.222,0.297,0.148,0.049,0.568
134021028,2.601,0.0,0.445,0.321,0.346,0.173,0.321,0.791
134021029,1.003,0.025,0.074,0.321,0.222,0.099,0.124,0.099
134021031,1.999,0.0,0.0,0.049,0.272,0.593,0.297,0.766
134021032,2.486,0.0,0.0,0.025,0.049,0.074,0.099,2.199
134021034,1.564,0.124,0.297,0.346,0.173,0.148,0.124,0.346
134021035,2.003,0.0,0.0,0.0,0.0,0.124,0.124,1.73
134021046,2.295,0.0,0.395,0.988,0.247,0.297,0.074,0.371
134022001,721.788,0.42,2.595,3.978,6.449,9.069,11.787,687.027
134027025,0.507,0.0,0.0,0.0,0.049,0.049,0.074,0.346
134027037,0.346,0.0,0.0,0.198,0.049,0.074,0.0,0.0
134027046,1.927,0.124,1.211,0.42,0.124,0.025,0.0,0.0
141008001,41.432,2.002,3.039,6.524,10.7,10.329,5.362,3.608
141008002,65.72,24.093,15.37,8.772,4.571,3.83,2.348,6.795
141008004,0.521,0.247,0.247,0.025,0.0,0.0,0.0,0.0
141008005,140.166,0.766,14.011,31.16,38.598,32.717,12.479,10.255
141008008,13.522,8.352,1.334,0.445,0.544,0.395,0.642,1.779
141008016,1.125,0.988,0.099,0.0,0.0,0.0,0.0,0.0
141008017,0.904,0.741,0.148,0.049,0.0,0.0,0.0,0.0
141008018,0.131,0.099,0.025,0.0,0.0,0.0,0.0,0.0
141008019,0.965,0.049,0.124,0.247,0.47,0.074,0.0,0.0
141008045,4.402,2.471,1.161,0.247,0.222,0.124,0.099,0.148
141008046,5.047,4.25,0.618,0.099,0.049,0.025,0.025,0.0
141008054,10.725,0.741,0.47,1.013,1.631,2.619,1.804,2.52
141008059,22.69,3.064,2.372,2.545,2.718,3.039,3.484,5.535
141008071,4.076,3.682,0.346,0.049,0.0,0.0,0.0,0.0
141008072,17.897,14.258,1.483,0.667,0.47,0.148,0.247,0.544
141008073,0.303,0.198,0.099,0.0,0.0,0.0,0.0,0.0
141008074,0.215,0.198,0.0,0.0,0.0,0.0,0.0,0.0
141008075,1.109,0.272,0.148,0.148,0.049,0.049,0.074,0.321
141008076,1.082,1.013,0.049,0.0,0.0,0.0,0.0,0.0
141008079,50.445,22.956,24.661,2.965,0.099,0.025,0.0,0.0
141008093,1.808,0.568,0.198,0.297,0.395,0.099,0.124,0.099
141008094,2.187,0.89,0.544,0.544,0.099,0.074,0.0,0.025
141008095,1.564,0.346,0.222,0.173,0.42,0.148,0.124,0.049
141008096,1.446,0.914,0.124,0.074,0.222,0.074,0.049,0.0
141008098,0.188,0.0,0.025,0.049,0.049,0.049,0.025,0.0
141008103,144.131,44.627,59.503,20.683,10.724,5.041,2.372,1.137
141008104,52.55,17.767,16.433,12.8,3.138,1.606,0.321,0.445
141009001,12.511,10.354,2.076,0.049,0.0,0.0,0.0,0.0
141009262,32.624,26.762,3.88,1.384,0.247,0.272,0.049,0.0
141009264,25.261,21.276,3.608,0.297,0.0,0.0,0.0,0.0
141009265,10.648,9.39,0.914,0.346,0.025,0.0,0.0,0.0
141009266,31.43,24.142,5.585,1.211,0.593,0.0,0.0,0.0
141009269,13.976,12.849,1.137,0.0,0.0,0.0,0.0,0.0
141009270,11.261,10.378,0.717,0.099,0.0,0.0,0.0,0.0
141009283,5.185,3.262,1.507,0.395,0.0,0.0,0.0,0.0
141010001,47.699,0.049,0.346,2.1,6.499,9.019,7.784,21.894
