View,Full Name,Organization,Lobby Year,Registration Date,Termination Date,Original,Amended
http://files.hawaii.gov/ethics/lobreg/1718/20171205092828903.pdf,"Lamosao, Rachele",Hawaii Farm Bureau Federation,2017-2018,12/5/2017,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20171207142611894.pdf,"Ueoka, Alison H.",Hawaii Insurers Council,2017-2018,12/7/2017,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20171215140512133.pdf,"Morgan Bernal, Lydi B.K.",Hawaii Public Health Institute (HiPHI),2017-2018,12/15/2017,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180105142711102.pdf,"Abe, Erik Kazuyuki",Hawaii Primary Care Association,2017-2018,1/5/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180206143509046.pdf,"Broden, Sherry Phyllis",Office of Hawaiian Affairs,2017-2018,2/6/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180206145221442.pdf,"Yamasaki, Ross","National Elevator Industry, Inc. (NEII)",2017-2018,2/6/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180206145226155.pdf,"Coppa, Bruce A.","National Elevator Industry, Inc. (NEII)",2017-2018,2/6/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180227093851101.pdf,"Kane, Will",Hawaii Death With Dignity,2017-2018,2/27/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180227154317074.pdf,"Uyemoto, Patrick",Hawaii Pharmacists Association,2017-2018,2/27/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180302141452249.pdf,"Sakuda, Christine",Transform Hawaii Government,2017-2018,3/2/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180305132220166.pdf,"Pierce, Molly Taylor",Hawaii Death With Dignity,2017-2018,3/5/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180305132225061.pdf,"White, John",Hawaii Death With Dignity,2017-2018,3/5/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180309143756360.pdf,"Sabas, John R.",Na Leo 'O Hawaii,2017-2018,3/9/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180309143801212.pdf,"Higa, Stacy",Na Leo 'O Hawaii,2017-2018,3/9/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180314151226408.pdf,"Webster, Nahelani",Hololani AOAO,2017-2018,3/13/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180314151231351.pdf,"Toyofuku, Robert S.",Hololani AOAO,2017-2018,3/13/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180323160630994.pdf,"Muhs, Robert E.",Avis Budget Group,2017-2018,3/23/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180323160639009.pdf,"Payne, Christine B.",Alzheimer's Association,2017-2018,3/23/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180427112406364.pdf,"Thompson, Michael Francis",Personal Care Products Council,2017-2018,4/25/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180427112412482.pdf,"Manansala, Eddie Charmaine",Compassion and Choices,2017-2018,4/26/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180427112420320.pdf,"Lau, Burt T.","Facebook, Inc.",2017-2018,4/24/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180731124930880.pdf,"Yajima, Tiffany N.",Sanofi US,2017-2018,7/31/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20180925112343486.pdf,"Barnett, Allison","Novartis Services, Inc.",2017-2018,9/25/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20181001104441597.pdf,"Meckler, Mark",Convention of States Action,2017-2018,10/1/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20181004153838768.pdf,"Toguchi, Charles T.",Clearway Energy Group LLC,2017-2018,10/4/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20181108074944701.pdf,"Alivado, Shannon L.","Hawaiian Electric Company, Inc.",2017-2018,11/8/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20181108074953257.pdf,"Alivado, Shannon L.","Hawaii Electric Light Company, Inc.",2017-2018,11/8/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1718/20181108074959986.pdf,"Alivado, Shannon L.","Maui Electric Company, Ltd.",2017-2018,11/8/2018,12/31/2018,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1000.pdf,"Andrade, Eva M.",Hawaii Family Forum,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10009.pdf,"Brown, Sinclair",Hawaii Pilots Association,2015-2016,5/18/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1001.pdf,"Natori, Nathan T.",Investment Company Institute,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10010.pdf,"Nakamura, Cynthia S.",Hawaii Pacific Health,2015-2016,5/12/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10011.pdf,"Pear, Charles E.","Disney Vacation Development, Inc.",2015-2016,5/6/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1002.pdf,"Kamakeeaina, Loyna L.","United Public Workers, AFSCME, Local 646, AFL-CIO",2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1003.pdf,"Kong Kee, Florence","United Public Workers, AFSCME, Local 646, AFL-CIO",2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1004.pdf,"Matsuura, Scott A.",Syngenta Hawaii LLC,2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10072.pdf,"Garcia, Lyndsey Kanani",Hawaii Public Health Institute (HiPHI),2015-2016,1/22/2015,12/10/2015,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1013.pdf,"Halagao, Avelino J.","Hawaiian Electric Industries, Inc.",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1014.pdf,"Hayashi, Clyde T.",Hawaii Laborers-Employers Cooperation & Education Trust,2013-2014,1/15/2013,12/31/2014,FALSE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1015.pdf,"Kurihara-Klein, Michele K.",Hawaii Government Employees Association (HGEA),2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1016.pdf,"Matsuura, Scott A.",Kauai Island Utility Cooperative,2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1017.pdf,"Mikulanec, Jacce S.",Hawaii Children's Action Network (formerly Good Beginnings Alliance),2013-2014,1/14/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1018.pdf,"Lau, Constance H.","American Savings Bank, F.S.B.",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1019.pdf,"Lau, Constance H.","Hawaiian Electric Industries, Inc.",2013-2014,1/15/2013,12/31/2014,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1314/Kfx10-1020.pdf,"Lee, Peter H.M.",Hawaii Laborers-Employers Cooperation & Education Trust,2013-2014,1/15/2013,12/31/2014,FALSE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10206.pdf,"Trevino, Ben",Bikeshare Hawaii,2015-2016,5/29/2015,12/31/2016,TRUE,FALSE
http://files.hawaii.gov/ethics/lobreg/1516/Kfx10-10207.pdf,"Masatsugu, Jeffrey S.",Carpet Linoleum and Soft Tile Local Union 1926 Market Recovery Trust Fund,2015-2016,5/28/2015,12/31/2016,TRUE,FALSE
