tmk,tmk_txt,island,owner,ownedby,majorowner,type,gisacres
146006022,146006022,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.35195298
116022007,116022007,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,1.07303146
189013062,189013062,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.20940473
141017021,141017021,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,8.97912763
174017001,174017001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,26.50753013
186023100,186023100,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.11898643
189017049,189017049,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.21664267
186023141,186023141,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12712002
189009018,189009018,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17463236
124040029,124040029,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17240687
126003019,126003019,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.15889044
189009044,189009044,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17569291
174017003,174017003,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,1.01630297
141008093,141008093,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,1.81036197
117042001,117042001,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,5.72886817
191120095,191120095,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12868486
146006039,146006039,Oahu,CITY AND COUNTY OF HONOLULU,City and County of Honolulu,Govt. County of Honolulu,Public-County,0.33465553
141037043,141037043,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.14976738
185002044,185002044,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,32.7414654
124041045,124041045,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15012445
187043086,187043086,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.12343153
189013036,189013036,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18219171
189016087,189016087,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.1721095
185031027,185031027,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17120717
141021016,141021016,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.26109865
141037065,141037065,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.15025631
135063023,135063023,Oahu,BOARD OF WATER SUPPLY,"City and County of Honolulu, Board of Water Supply",Govt. County of Honolulu,Public-County,0.4513422
189009045,189009045,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17798051
111063011,111063011,Oahu,STATE OF HAWAII,State of Hawaii,Govt. State,Public-State,28.95555877
189009007,189009007,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17685992
124042011,124042011,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.18267715
124040028,124040028,Oahu,HAWAIIAN HOME LANDS,Department of Hawaiian Home Lands,Govt. State DHHL,Public-State DHHL,0.17262325
